id,name,src,price,weapon_id
11,"Akihabara Accept",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfY3VfYW5pbWVfYXVnX2xpZ2h0LmM4M2Q4NTUwNjVkZjFhM2E2ODA4YTdhZjJjNjRjYjUxODliNmRhMTcucG5n/auto/auto/85/notrim/01c1090dbdd860f324155b6dc84cfa22.webp,277.95,2
12,Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX3NwX2dhbGlsX2Frb2Jlbl9saWdodC5jOGI2MzNkZGQ2MDlkNDUzODk4N2JhZDczY2U5MGE5ODQ4MDFmNWJlLnBuZw--/auto/auto/85/notrim/a18749df7de227a71a7f5cfb697b347e.webp,0.10,10
13,Akoben,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfc3BfbXA3X3RyaWJhbF95ZWxsb3dfbGlnaHQuMGVjZTRlN2FjMjVmNDUxMjk3Nzc1MDMzMjVmZjM0OGEzYmVjODNhZi5wbmc-/auto/auto/85/notrim/76bc7511e9cc01764ae26d6003b32510.webp,0.13,17
14,Allure,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9jdV9tYWMxMF9pc29vbm5hX2xpZ2h0LjUwOWFjNDg3MzQ5MDM1YmE2ODBiYjI3NjEyNjYyNDVmMjkzYmY3NWEucG5n/auto/auto/85/notrim/79917f996f76d810ffdc42d12a4038e3.webp,0.23,15
15,Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9hbV9tYWMxMF9hbG9oYV9saWdodC5lN2RmYTg5NDk3OGIzYWYzZTRjOGVhYmNjOWNkNjgzNDBiMzMwZDBmLnBuZw--/auto/auto/85/notrim/41380f04d9defb79fcd94543dfa681a5.webp,2.09,15
16,Aloha,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9zcF9zZzUzM19hbG9oYV9saWdodC4wNTA5MmY5Y2RhY2MzZjc5MjBiMzA5NGFjYTEzOWE3YzhiODI1NTBhLnBuZw--/auto/auto/85/notrim/9bb516e5353e2f8f59411ff13f92722e.webp,0.03,28
17,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfYWFfZmFkZV9tZXRhbGxpY19saWdodC5iOWMwNjJhNDgyODNiYjU2NzlmZWEwYjI3NDA5OTVlMWY3YzM3MDVlLnBuZw--/auto/auto/85/notrim/85af5924eb41f819c3f9f6fdf436071b.webp,0.89,2
18,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX2FhX2ZhZGVfbWV0YWxsaWNfbGlnaHQuYWVlMTFjMTE1ZjJmNjIxZTcwOWU5N2Q4MTkwOTI1NmU1NTNhMzg2Mi5wbmc-/auto/auto/85/notrim/a7dbc2dbb8452f0e3a10f2a4c1d1beb7.webp,19.73,10
19,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tYWMxMF9hYV9mYWRlX21ldGFsbGljX2xpZ2h0LmVmNGJjZGU0ZTM3MzY2MDhkZmFiY2YyMGEwOTFjODM3NDdlNGVlM2IucG5n/auto/auto/85/notrim/b8fd2e13cea197621ddcacac3dcea440.webp,12.40,15
20,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9oa3AyMDAwX2FhX2ZhZGVfbWV0YWxsaWNfbGlnaHQuNjQyYmVkNzhhOWViNTIyYTg1ZDVhMGE1MzI1MWQ0MmI3MTY2MGUyMy5wbmc-/auto/auto/85/notrim/50cb377301220a881146d045ce5de3cc.webp,1.94,22
21,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9yZXZvbHZlcl9hYV9mYWRlX21ldGFsbGljX3Jldm9sdmVyX2xpZ2h0LmZmZDc2Y2I3YTBhMWY1NjViMGM2NTkwYTA2MWU2ZjJjZWFkNGE4NTcucG5n/auto/auto/85/notrim/e6c7d9e287377913761f8f20c2451638.webp,0.36,NULL
22,"Amber Fade",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zYXdlZG9mZl9hYV9mYWRlX21ldGFsbGljX2xpZ2h0LmIzMmQzOGIwZTQwYzQwZjNiOWUwMmI0ZDJhNjEyY2EzNWE1MzkxNjIucG5n/auto/auto/85/notrim/d66a5e16ade1ea240cf36e4cb612939d.webp,0.14,26
23,"Amber Slipstream",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfaHlfYXVnX3Rvcm5fb3JhbmdlX2xpZ2h0LjgwYWYwOGRlYzc3NzhlZTk4MDZlNjkwY2ZiODQ0ZjMyMDdlZDg3YmQucG5n/auto/auto/85/notrim/c1e0e1303a24a8c875a4e520a41e73ae.webp,0.12,2
24,Amphibious,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3Nwb3J0eV9nbG92ZXNfc3BvcnR5X3BvaXNvbl9mcm9nX2JsdWVfd2hpdGVfbGlnaHQuMjc4NzBjNjE1MWJmNDcyODBhMWY4ODIxZjRiMDViNTRjMzU5OGMxMy5wbmc-/auto/auto/85/notrim/95a294b10987e7a9927babaa1ef0e7f2.webp,390.55,54
25,"Analog Input",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zYXdlZG9mZl9zYXdlZG9mZl9nYW1lcl9saWdodC5kZDEyMWZjZTFiYmYyOTUzNjlmY2I5MTlkZGZiZjI1NWM2YmJiODQ2LnBuZw--/auto/auto/85/notrim/1adc9782f6ed29ae25299ec0e197bb8e.webp,0.81,26
26,"Ancient Earth",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wOTBfYWFfYW5jaWVudF9icm93bl9saWdodC4wYzI4N2JkZGQ0ZGNkNTU3YTIxYTlhMjBkMThjZmIxM2I1MWZkMjAzLnBuZw--/auto/auto/85/notrim/3961b97fdbaf0921736770fd1ac69d36.webp,0.54,24
27,"Ancient Lore",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl94bTEwMTRfYW1fYW5jaWVudF93YXJtX2xpZ2h0LmIzNGU4YWU1MmY3MzQ4MTcxZDkwYWQ3ZjUzMDNlNzQ4MmRhZGY2OTMucG5n/auto/auto/85/notrim/9f20496b373ca0b945d1f4d6e4d821a5.webp,34.63,NULL
28,"Ancient Ritual",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nM3NnMV9hbV9hbmNpZW50X3dpbmVfbGlnaHQuNDczMWI5M2YxOWI1NjdhMDRlMWY4ZjFjNjQyMGRjMmUwMDM4ZjkwOC5wbmc-/auto/auto/85/notrim/7bc438d2bc43767a1ca396c515380b0b.webp,2.74,9
29,"Ancient Visions",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91c3Bfc2lsZW5jZXJfc3BfYW5jaWVudF9icmlnaHRfbGlnaHQuMmNlMDgyNjgxZGE1ZTg3MmFhZDhkNjUzNzRlZDU5NDIwZDNlNWRjNy5wbmc-/auto/auto/85/notrim/7b27d7cbf745a29e2b9319b5b7e9fb33.webp,36.28,32
30,"Angry Mob",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fY3VfZml2ZV9zZXZlbl9hbmdyeV9saWdodC41OWU3YTM2NzUxNjM2N2I4ZGYyOTgyNWI1NzE2OWZkZjU0OTA5ODBiLnBuZw--/auto/auto/85/notrim/56c95654ed5d4c11757dff0cfdc879d0.webp,1.80,8
31,"Anodized Gunmetal",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9maXZlc2V2ZW5fYW5fZ3VubWV0YWxfYnJhdm9fbGlnaHQuYWFjN2NkZDNlYThiZWYwYTU3ODA2YWI4NDMwMzFlNWZiM2UyYWI3Ny5wbmc-/auto/auto/85/notrim/ebf4faa06795ca2c97a6cbfd4973ea84.webp,7.57,8
32,"Anodized Navy",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfYW5fbmF2eV9icmF2b19saWdodC42NmZmNTBlMmUwNGZkNjEzYjQ1OTdiNDZkYWY3YTJlOTIyODRjMDhjLnBuZw--/auto/auto/85/notrim/077de5483fe89bbc3789d0d01ccc9faf.webp,27.43,2
33,"Anodized Navy",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9lbGl0ZV9hbl9uYXZ5X2xpZ2h0LmEyYmU0ZDZmODBjZDE1MzE3YzMwYWM2YzA5YTkyNjQyNDMzZWI4MzgucG5n/auto/auto/85/notrim/d303fc9065bb112904cc80fe00806c94.webp,1.81,6
34,"Anodized Navy",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfYW5fbmF2eV9saWdodC5hMzYwZWQ0M2I2NGNlYzI1OWMyZmE3ODNmODgxYmFiZjA1MTFjNWM0LnBuZw--/auto/auto/85/notrim/917ad4660b05427ac10d23c8b9c53226.webp,0.33,17
35,"Anodized Navy",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbl9uYXZ5X2xpZ2h0LjJkZWE2YTM4YmM3OWYyOTZmM2VmOTJmY2JmNzg4MDgzN2RkY2U1MmIucG5n/auto/auto/85/notrim/6d37dfd180fd132d2f714d0c97412b1b.webp,365.29,20
36,"Anodized Navy",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zZzU1Nl9hbl9uYXZ5X2xpZ2h0LjYxMmU2YTlhOTc3Yzc2NzBiZjk1MTJlNjlkYzI2NzIyODVmMTBlMTAucG5n/auto/auto/85/notrim/0b4a91388c47f1cdeeb4f4d8a4f3b02f.webp,0.29,28
37,Anolis,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9iaXpvbl9oeV9saXphcmRfc2tpbl9saWdodC5jNjAyMjJkZDgxMjc2Mjg4N2ZjZDI1YThkMmNjN2EyODE0ZWJkMTc2LnBuZw--/auto/auto/85/notrim/98b0b34f0765cab05d4ffe86692a2a20.webp,0.45,25
38,Antique,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9ub3ZhX2N1X25vdmFfYW50aXF1ZV9saWdodC5mNDQ2MzhmNTk5ODA4ZmNlZjc0YjQzY2NkNDhjNzJlNDA1NTYyZGE2LnBuZw--/auto/auto/85/notrim/5191daaa11c53a314926e751445a514c.webp,7.67,21
39,Antique,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9iaXpvbl9jdV9iaXpvbl9hbnRpcXVlX2xpZ2h0LmJmNGFjYWRkYzRmYmJlOTU5Y2Y2YzdmZjAwN2M1OTVlYzE3NmJiY2QucG5n/auto/auto/85/notrim/7c874d0829ffd27e7a2fd2d0ba89b4a7.webp,6.50,25
40,"Apep's Curse",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9wMjUwX2dzX3AyNTBfYXBlcF9saWdodC4xZTI4ZjczODBlODA5YzZiMzg0OTJhMDRkOGEyN2RmYmU4ODQzMzZiLnBuZw--/auto/auto/85/notrim/751e4ac64757dc4c9bf866afa4715d33.webp,21.89,23
41,Apocalypto,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9zYXdlZG9mZl9jdV9zYXdlZG9mZl9hcG9jYWx5cHRvX2xpZ2h0LmM5OTA1NTU0OTlhMDQzY2ZkMzNkN2MyZDU5YzlhYjhiNjAyNTNlMzYucG5n/auto/auto/85/notrim/df0221f6aac0483455510137b29c1675.webp,0.24,26
42,"Aqua Terrace",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nYWxpbGFyX2FtX2dlb21ldHJpY19zdGVwc19saWdodC5hNWZjNzNiMDY4NWE1ZDQ2MTk5ZjJhMmFiNjcxMTUzOWVkZDI2YmYxLnBuZw--/auto/auto/85/notrim/481bbbac9484aeaf43c4f15427c18b3a.webp,96.73,10
43,"Aquamarine Revenge",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hazQ3X2N1X2FrNDdfY291cmFnZV9hbHRfbGlnaHQuZTkyZjcxZTJkNDFmODI3MDRkOTI1NmMwNDc1OTI5NTI0ODAyYTJkMC5wbmc-/auto/auto/85/notrim/624a27c869e036c66218de830fffcab5.webp,13.01,1
44,Arboreal,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL2xlYXRoZXJfaGFuZHdyYXBzX2hhbmR3cmFwX2xlYXRoZXJ5X2ZhYnJpY19ncmVlbl9jYW1vX2xpZ2h0LjUwM2RhZjI4MTRhMGU3MjUzNWE1NTk2N2Y1Mzk2ZTg0MDU2YTRjZjQucG5n/auto/auto/85/notrim/f33cb0356eee3ef096b2eaf3f42f4985.webp,61.23,56
45,"Arctic Camo",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9nM3NnMV9oeV9hcmN0aWNfbGlnaHQuMzI0ZjVlM2EwMjJhOTI1YTMzOWZhOTBmYzE0MTlmOTM3YWY1ZTk4NS5wbmc-/auto/auto/85/notrim/594aa45ec9790e6c3bfc0694b71f73a6.webp,5.13,9
46,"Arctic Wolf",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfY3VfYXVnX3doaXRlZmFuZ19saWdodC5kMGVmY2M4Njk1MTAyNDE1MTlkZWFmMTFiNGZlZTczNDhmZDg0ZTFjLnBuZw--/auto/auto/85/notrim/977c66d22ab65af0e902bf186c955f00.webp,1.06,2
47,"Arctic Wolf",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl91bXA0NV9jdV91bXA0NV93aGl0ZV9mYW5nX2xpZ2h0LmVhYTkzYTc0Y2Q0YzRjNjUzMzI3ZTcyYmMwNGFiNWFmOWUzZDQ1NWIucG5n/auto/auto/85/notrim/1f87a2b08cd1be4249a2c0f0c77ce14e.webp,0.18,31
48,Arid,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3Nwb3J0eV9nbG92ZXNfc3BvcnR5X21pbGl0YXJ5X2xpZ2h0LmY1MzAxMjcxODliMTQzN2JhNzI1NmEzOGZmN2IxNmMxODIxZWUyNDAucG5n/auto/auto/85/notrim/fceb07305936c6c646110ca8468d8ba8.webp,245.69,54
49,Aristocrat,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9hdWdfZ3NfYXVnX2FyaXN0b2NyYXRfbGlnaHQuM2ZlOGQxNGE5ZGZmMDJkMjUyYjhkNzllODFjNjkwYTA3YzU1NDUyMC5wbmc-/auto/auto/85/notrim/47a32d2e32f0aecd58061170c8851394.webp,0.38,2
50,"Armor Core",https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tcDdfYXFfbXA3X3VsdHJhbW9kZXJuX2xpZ2h0LmY2ZmE0N2I4NWIwNjNmYmQ3M2U4ZDJlMWJiMjZlNGY4ODk0NmViNjMucG5n/auto/auto/85/notrim/4e2b876886b01114c46ef90246db17e9.webp,0.06,17
